"host","host_common","aphid"
"Abies concolor","White Fir","Cinara curvipes"
"Abies concolor","White Fir","Cinara occidentalis"
"Abies lasiocarpa","Alpine Fir","Cinara curvipes"
"Abies lasiocarpa","Alpine Fir","Cinara lasiocarpae"
"Abies lasiocarpa","Alpine Fir","Cinara occidentalis"
"Abies lasiocarpa","Alpine Fir","Mindarus abietinus"
"Acer saccharum","Sugar Maple","Periphyllus americanus"
"Acer saccharum","Sugar Maple","Periphyllus lyropictus"
"Acer campestre","Hedge Maple","Drepanosiphum platanoides"
"Acer glabrum","Rocky Mountain Maple","Periphyllus americanus"
"Acer glabrum","Rocky Mountain Maple","Periphyllus brevispinosus"
"Acer grandidentatum","Bigtooth Maple","Drepanaphis granovskyi"
"Acer grandidentatum","Bigtooth Maple","Drepanaphis spicata"
"Acer grandidentatum","Bigtooth Maple","Drepanaphis utahensis"
"Acer grandidentatum","Bigtooth Maple","Periphyllus americanus"
"Acer negundo","Boxelder","Drepanosiphum braggii"
"Acer negundo","Boxelder","Periphyllus negundinis"
"Acer platanoides","Norway Maple","Drepanosiphum platanoides"
"Acer platanoides","Norway Maple","Periphyllus lyropictus"
"Acer pseudoplatanus","Planetree Maple","Drepanosiphum platanoides"
"Acer pseudoplatanus","Planetree Maple","Periphyllus americanus"
"Acer saccharinum","Silver Maple","Drepanaphis acerifolii"
"Acer saccharinum","Silver Maple","Periphyllus americanus"
"Acer","Maple","Periphyllus testudo"
"Achillea millefolium","Common Yarrow","Aphis helichrysi"
"Achillea millefolium","Common Yarrow","Aphis knowltoni"
"Achillea ptarmica","Sneezewort Yarrow","Microsiphum ptarmicae"
"Achillea","Yarrow","Pemphigus balsamiferae"
"Aconitum columbianum","Colombia Monkshood","Kakimia wahinkae"
"Agrimonia eupatoria","Common Agrimony","Macrosiphum agrimoniellum"
"Agrimonia striata","Roadside Acrimony","Macrosiphum solanifolii"
"Agrimonia striata","Roadside Acrimony","Macrosiphum pseudorosae"
"Agropyron","Wheat Grata","Brachycolus tritici"
"Agropyron","Wheat Grata","Forda olivacea"
"Agropyron","Wheat Grata","Sipha agropyronensis"
"Agropyron","Wheat Grata","Colopha ulmisacculi"
"Agropyron","Wheat Grata","Toxoptera graminum"
"Alnus rhombifolia","Sierra Alder","Oestlundiella flava"
"Alnus","Alder","Euceraphis gillettei"
"Alnus","Alder","Oestlundiella flava"
